USER         PID %CPU %MEM    VSZ   RSS
root           1  0.0  0.1 170256 13192
root           2  0.0  0.0      0     0
root           3  0.0  0.0      0     0
root           4  0.0  0.0      0     0
root           5  0.0  0.0      0     0
root           6  0.0  0.0      0     0
root           8  0.0  0.0      0     0
root          10  0.0  0.0      0     0
root          12  0.0  0.0      0     0
root          13  0.0  0.0      0     0
root          14  0.0  0.0      0     0
root          15  0.0  0.0      0     0
root          16  0.0  0.0      0     0
root          17  0.0  0.0      0     0
root          18  0.0  0.0      0     0
root          19  0.0  0.0      0     0
root          20  0.0  0.0      0     0
root          22  0.0  0.0      0     0
root          23  0.0  0.0      0     0
root          24  0.0  0.0      0     0
root          25  0.0  0.0      0     0
root          26  0.0  0.0      0     0
root          27  0.0  0.0      0     0
root          29  0.0  0.0      0     0
root          30  0.0  0.0      0     0
root          31  0.0  0.0      0     0
root          32  0.0  0.0      0     0
root          33  0.0  0.0      0     0
root          34  0.0  0.0      0     0
root          36  0.0  0.0      0     0
root          37  0.0  0.0      0     0
root          38  0.0  0.0      0     0
root          39  0.0  0.0      0     0
root          40  0.0  0.0      0     0
root          41  0.0  0.0      0     0
root          43  0.0  0.0      0     0
root          44  0.0  0.0      0     0
root          45  0.0  0.0      0     0
root          46  0.0  0.0      0     0
root          48  0.0  0.0      0     0
root          49  0.0  0.0      0     0
root          50  0.0  0.0      0     0
root          51  0.0  0.0      0     0
root          52  0.0  0.0      0     0
root          53  0.0  0.0      0     0
root          98  0.0  0.0      0     0
root          99  0.0  0.0      0     0
root         100  0.0  0.0      0     0
root         101  0.0  0.0      0     0
root         102  0.0  0.0      0     0
root         103  0.0  0.0      0     0
root         105  0.0  0.0      0     0
root         106  0.0  0.0      0     0
root         107  0.0  0.0      0     0
root         109  0.0  0.0      0     0
root         110  0.0  0.0      0     0
root         111  0.0  0.0      0     0
root         114  0.0  0.0      0     0
root         115  0.0  0.0      0     0
root         116  0.0  0.0      0     0
root         117  0.0  0.0      0     0
root         118  0.0  0.0      0     0
root         119  0.0  0.0      0     0
root         120  0.0  0.0      0     0
root         121  0.0  0.0      0     0
root         124  0.0  0.0      0     0
root         125  0.0  0.0      0     0
root         126  0.0  0.0      0     0
root         136  0.0  0.0      0     0
root         137  0.0  0.0      0     0
root         138  0.0  0.0      0     0
root         139  0.0  0.0      0     0
root         140  0.0  0.0      0     0
root         141  0.0  0.0      0     0
root         165  0.0  0.0      0     0
root         192  0.0  0.0      0     0
root         204  0.0  0.0      0     0
root         205  0.0  0.0      0     0
root         264  0.0  0.0      0     0
root         265  0.0  0.0      0     0
root         280  0.0  0.3  68112 30404
root         281  0.0  0.1  32044  9720
root         371  0.0  0.0      0     0
root         388  0.0  0.0      0     0
root         394  0.0  0.0      0     0
root         417  0.0  0.0      0     0
root         418  0.0  0.0      0     0
root         419  0.0  0.0      0     0
root         422  0.0  0.0      0     0
root         424  0.0  0.0      0     0
dbus         473  0.0  0.0  11332  6992
polkitd      475  0.0  0.1 240192 10568
root         477  0.0  0.1  50404  8256
root         501  0.0  0.2 334404 16908
root         514  0.0  0.1 243216  9296
root         534  0.0  0.0  11824  5296
root         539  0.0  0.0  26812  7624
root         543  0.0  0.1 238644  8300
root         587  0.0  0.0 237412  7064
root         627  0.0  0.0  17308  7736
root         723  0.0  0.1 244172  8860
root         731  0.0  0.0 235848  5760
rtkit        740  0.0  0.0  22796  1272
colord       760  0.0  0.1 243860 12728
root        1385  0.0  0.1 394080 11640
root        1399  0.0  0.0      0     0
root       13293  0.0  0.0      0     0
root       29931  0.0  0.0      0     0
root       29974  0.0  0.0      0     0
root       48684  0.0  0.1 388600 10252
henrique   48698  0.0  0.1  20808 12024
henrique   48701  0.0  0.0 173664  4952
henrique   48712  0.0  0.1 459988  8092
henrique   48719  0.0  0.0  10312  6480
henrique   48725  0.0  0.0 231856  5496
henrique   48731  0.0  0.1 371648 14536
henrique   48775  0.0  0.0  87816  4772
henrique   48777  0.0  0.2 593664 16072
henrique   48792  4.4  3.5 5404636 286932
henrique   48858  0.0  0.1 315492  8556
henrique   48864  0.0  0.0 452872  6016
henrique   48874  0.0  0.0 381876  7256
henrique   48881  0.0  0.0   8472  4492
henrique   48897  0.0  0.0 305612  4976
henrique   48899  0.0  0.1 659932 15608
henrique   48908  0.0  0.3 1820264 28456
henrique   48911  0.0  0.0 229136  5248
henrique   48920  0.0  0.1 431820 12844
henrique   48936  0.0  0.4 1395800 39336
henrique   48939  0.0  0.0 307908  5916
henrique   48951  0.0  0.0 305840  5708
henrique   48957  0.0  0.4 783272 35352
henrique   48958  0.0  0.0 311620  7532
henrique   48971  0.0  0.1 384976  8056
henrique   48978  0.0  0.1 390324  8120
henrique   48985  0.0  0.0 306016  5224
henrique   48993  0.0  0.2 890460 18532
henrique   49005  0.0  0.2 815988 19272
henrique   49027  0.0  0.3 2726020 25904
henrique   49035  0.0  0.0 234892  6252
henrique   49042  0.0  0.1 385028 11636
henrique   49043  0.0  0.0 379800  6080
henrique   49044  0.0  0.2 453720 23300
henrique   49048  0.0  0.1 429108 11176
henrique   49049  0.0  0.0 531552  7440
henrique   49051  0.0  0.2 452524 21676
henrique   49053  0.0  0.3 941432 25052
henrique   49056  0.0  0.3 867708 26252
henrique   49057  0.0  0.1 394404 10668
henrique   49059  0.0  0.0 527212  6044
henrique   49061  0.0  0.0 305740  4512
henrique   49062  0.0  0.1 531148  8032
henrique   49066  0.0  0.0 458820  7544
henrique   49070  0.0  0.1 389308  8592
henrique   49073  0.0  0.0 530960  6868
henrique   49077  0.0  0.2 526572 22792
henrique   49111  0.0  0.3 2726148 25856
henrique   49115  0.0  0.1 451584 14208
henrique   49186  0.0  0.7 1025364 57264
henrique   49189  0.0  0.1 229164 13920
henrique   49200  0.0  0.0 306736  5940
henrique   49215  1.5  1.1 790620 92668
henrique   49289  0.0  0.0 306644  6684
henrique   49290  0.0  0.3 459184 28836
henrique   49305  0.0  0.0 306588  6620
henrique   49349  0.0  0.0 232940  5844
henrique   49354  0.0  0.8 912140 71476
henrique   49381  0.0  0.3 304992 26464
henrique   49427  0.0  0.7 1082000 58476
henrique   49433  0.0  0.7 493516 57640
henrique   49504  0.0  0.1 389596  8548
henrique   49522  0.0  0.0  49000  6880
henrique   49536  0.0  0.1 760604 12640
henrique   49541  0.0  0.0 681348  6600
root       49547  0.0  0.0   2508   916
henrique   49553  0.0  0.5 604732 47412
henrique   49576  0.0  0.3 457812 27068
henrique   49590  0.0  0.0  40408  7156
henrique   49591  0.0  0.0  19016  5848
henrique   49607  1.6  1.9 21496500 153220
henrique   49610  0.0  0.5 17012024 43384
henrique   49611  0.0  0.5 17012024 43404
henrique   49624  0.0  0.0 17012024 7800
henrique   49632  0.0  0.3 769624 30924
henrique   49669  0.0  0.0 16798216 2840
henrique   49687  3.8  1.6 17436472 132696
henrique   49712  0.0  0.7 17062092 59184
henrique   49727 11.5  4.0 40263128 326316
henrique   49775  0.2  1.5 29744440 127840
henrique   49787  0.7  1.4 21289644 117232
henrique   49803  0.3  1.0 21296620 81436
henrique   49816  0.0  0.0 232692  5888
henrique   49832  0.0  0.8 21297024 70676
henrique   49901  0.0  0.1  12876  8068
henrique   49907  0.0  0.0  10392  3380
henrique   49915  0.0  0.0  11660  3832
henrique   49917  0.0  0.0  11644  4168
henrique   49918  0.0  0.0 596600  3640
henrique   50007  0.0  0.1 322216  9428
henrique   51012  0.0  0.6 720676 53812
henrique   51035  0.0  0.1  12536  8528
henrique   51045  0.0  0.0  10392  3428
henrique   51053  0.0  0.0  11648  3804
henrique   51054  0.0  0.0  11632  4140
henrique   51056  0.0  0.0  72184  1296
root       88348  0.0  0.0      0     0
henrique   96014  0.0  0.1  12824  8932
henrique   96020  0.0  0.0  10440  3408
henrique   96028  0.0  0.0  11664  3840
henrique   96030  0.0  0.0  11648  4124
henrique   96031  0.0  0.0 596612  3636
root       96140  0.0  0.0      0     0
henrique   96953  0.0  0.0   7436  4152
henrique   97034  0.0  0.9 21247372 72616
henrique  101924  3.2  4.6 34245444 374448
henrique  101929  0.0  0.0 33576860 3280
henrique  101931  0.0  0.0 33567624 3244
henrique  101937  0.0  0.7 33887372 56596
henrique  101938  0.0  0.6 33887360 55592
henrique  101941  0.0  0.2 33887384 17176
henrique  101967  1.8  2.6 34497452 208352
henrique  101969  1.0  1.4 33971248 114184
henrique  102002  0.0  0.7 33940544 57952
henrique  102012  0.0  1.3 1185857840 109672
henrique  102133  0.0  1.7 1185852752 140540
henrique  102148  0.0  1.2 1185849896 103352
henrique  102161  0.0  1.8 1187968812 150848
henrique  102177  0.6  3.5 1192183764 285048
henrique  102191  0.0  1.6 1185857224 133596
henrique  102203  0.0  0.9 34195976 74688
henrique  102218  1.1  4.0 1192225584 322696
henrique  102268  0.3  1.6 1185849912 135972
henrique  102300  0.0  1.6 1185863748 128280
henrique  102311  1.2  1.8 1185857856 147676
henrique  102324  0.8  2.5 1185854180 207812
henrique  102351  0.9  1.8 1121044 150420
henrique  103219  0.7  3.3 2383300 265784
henrique  103261  0.0  0.1 389824  9280
henrique  103410  0.0  2.1 1185867928 172740
henrique  103425  1.5  3.8 1185862796 308812
henrique  103453  0.0  1.8 1185852476 145052
henrique  103486  4.1  3.0 1185859020 244980
henrique  103503  0.3  2.4 1185866372 193472
henrique  103514  0.0  1.8 1185853988 146084
henrique  103570  0.0  1.6 1185857224 132952
henrique  103596  0.1  2.4 1185852560 196312
henrique  103607  0.8  3.8 1192203840 307180
root      104045  0.0  0.0      0     0
henrique  106575  0.1  2.0 1185865672 162224
henrique  106589  0.5  2.3 1185873744 187484
henrique  106615  1.7  2.7 1185860612 220744
root      106842  0.0  0.0      0     0
henrique  107288  1.3  1.9 1185857856 153036
henrique  107305  0.0  2.1 1185867864 173340
henrique  107317  1.1  3.4 1187989460 277828
henrique  107330  0.0  1.6 1185863748 130316
henrique  107352  0.1  1.8 1185869088 144880
henrique  107368  0.0  0.8 1185808660 65940
root      107407  0.0  0.0      0     0
root      107466  0.0  0.0      0     0
root      107531  0.0  0.0      0     0
root      107799  0.0  0.0      0     0
root      107842  0.1  0.0      0     0
root      108675  0.0  0.0      0     0
root      108702  0.0  0.0      0     0
root      108911  0.0  0.0      0     0
root      109104  0.2  0.0      0     0
root      109299  0.0  0.0      0     0
root      109316  0.0  0.0      0     0
root      109377  0.0  0.0      0     0
root      109378  0.0  0.0      0     0
root      109379  0.0  0.0      0     0
root      109468  0.0  0.0      0     0
root      109544  0.0  0.0      0     0
henrique  109946  0.0  0.0   7508  3044
henrique  109947  0.0  0.0  10224  3528
